dsr1_no,dsr1,dsr2_no,dsr_e,math_q,correct_resp,image_disgust,no,pol_ques,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,consent_form.started,text_10.started,button_2.started,consent_form.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,Introduction.started,text_3.started,button.started,Introduction.stopped,button.numClicks,button.timesOn,button.timesOff,dsr_a.started,text_6.started,text_7.started,slider_3.started,dsr_a.stopped,slider_3.response,slider_3.rt,dsr_b.started,text_8.started,text_9.started,slider_4.started,dsr_b.stopped,slider_4.response,slider_4.rt,distractor.started,text.started,textbox.started,buton.started,distractor.stopped,textbox.text,buton.numClicks,buton.timesOn,buton.timesOff,encoding.started,polygon.started,image.started,polygon.stopped,slider.started,image.stopped,encoding.stopped,slider.response,slider.rt,instruction.started,text_4.started,Button.started,instruction.stopped,Button.numClicks,Button.timesOn,Button.timesOff,testing.started,text_2.started,slider_2.started,testing.stopped,slider_2.response,slider_2.rt,exit_message.started,text_5.started,exit_message.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0047619,0.0136285,0.0136285,1.9297243,1,[1.923746399988886],[1.9237567000091076],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9298123,1.9454179,1.9454179,2.896912,1,[0.9657335000229068],[0.9657436000125017],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
1r,"I might be willing to try eating monkey meat, under some circumstances",,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,3.0642255,,,,,,,,,,,,,,,,3.0035783,3.0642255,3.0642255,3.0642255,8.8562069,1,5.8265716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
2,"It would bother me to be in a science class, and to see a human hand preserved in a jar",,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,8.8895253,,,,,,,,,,,,,,,,8.8565861,8.8895253,8.8895253,8.8895253,16.8039335,0,7.9194276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
3,It bothers me to hear someone clear a throat full of mucous,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,16.8296276,,,,,,,,,,,,,,,,16.804215,16.8296276,16.8296276,16.8296276,21.1845664,0,4.3566485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
4,I never let any part of my body touch the toilet seat in public restrooms. ,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,21.2134975,,,,,,,,,,,,,,,,21.1848428,21.2134975,21.2134975,21.2134975,27.5712444,3,6.3614053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
5,I would go out of my way to avoid walking through a graveyard. ,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,27.598637,,,,,,,,,,,,,,,,27.5715189,27.598637,27.598637,27.598637,33.7929747,0,6.1955498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
6r,Seeing a cockroach in someone else's house doesn't bother me. ,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,33.8207555,,,,,,,,,,,,,,,,33.7932721,33.8207555,33.8207555,33.8207555,40.6822771,2,6.8617555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
7,It would bother me tremendously to touch a dead body. ,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,40.7061133,,,,,,,,,,,,,,,,40.682582,40.7061133,40.7061133,40.7061133,48.0524796,1,7.3428541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
8,"If I see someone vomit, it makes me sick to my stomach. ",,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,48.077163,,,,,,,,,,,,,,,,48.0528796,48.077163,48.077163,48.077163,51.1529222,0,3.0758419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
9,I probably would not go to my favorite restaurant if I found out that the cook had a cold. ,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,51.1787706,,,,,,,,,,,,,,,,51.1532534,51.1787706,51.1787706,51.1787706,74.1481022,3,22.9663882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
10r,"It would not upset me at all to watch a person with a glass eye take the eye 
out of the socket.  ",,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,74.1806148,,,,,,,,,,,,,,,,74.1483967,74.1806148,74.1806148,74.1806148,81.2878449,3,7.1106391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
11,It would bother me to see a rat run across my path in a park. ,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,81.3149776,,,,,,,,,,,,,,,,81.2881479,81.3149776,81.3149776,81.3149776,86.6015181,0,5.2887479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
12d,I would rather eat a piece of fruit than a piece of paper ,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,86.6264842,,,,,,,,,,,,,,,,86.6017715,86.6264842,86.6264842,86.6264842,93.6964136,4,7.0711014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
13,"Even if I was hungry, I would not drink a bowl of my favorite soup if it had been
stirred by a used but thoroughly washed flyswatter. ",,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,93.723952,,,,,,,,,,,,,,,,93.696675,93.723952,93.723952,93.723952,110.965374,2,17.241837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
14,"It would bother me to sleep in a nice hotel room if I knew that a man had died of a
heart attack in that room the night before. ",,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,110.9914369,,,,,,,,,,,,,,,,110.9656275,110.9914369,110.9914369,110.9914369,112.7157371,2,1.7251337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,15,You see maggots on a piece of meat in an outdoor garbage pail. ,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,112.7472518,,,,,,,,,,,,,,,,,,,,,,,112.7209184,112.7472518,112.7472518,112.7472518,143.9034612,4,31.1582333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,16d,You see a person eating an apple with a knife and fork,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,143.9297685,,,,,,,,,,,,,,,,,,,,,,,143.903812,143.9297685,143.9297685,143.9297685,165.838701,0,21.9080513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,17,"While you are walking through a tunnel under a railroad track, you smell urine. ",,,,,,,,,,0,2,2,2,,,,,,,,,,,,,165.8680759,,,,,,,,,,,,,,,,,,,,,,,165.8390144,165.8680759,165.8680759,165.8680759,171.442669,0,5.5744236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
,,18,"You take a sip of soda, and then realize that you drank from the glass that an
 		acquaintance of yours had been drinking from",,,,,,,,,,0,3,3,3,,,,,,,,,,,,,171.4748894,,,,,,,,,,,,,,,,,,,,,,,171.4429438,171.4748894,171.4748894,171.4748894,177.1361832,2,5.6622596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC,1,2024-11-22_16h10.50.916,Disgust Thang,2024.1.5,None,2024-11-22 16h11.02.864651 +0530
