dsr1_no,dsr1,dsr2_no,dsr_e,math_q,correct_resp,image_disgust,no,pol_ques,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,consent_form.started,text_10.started,button_2.started,consent_form.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,Introduction.started,text_3.started,button.started,Introduction.stopped,button.numClicks,button.timesOn,button.timesOff,dsr_a.started,text_6.started,text_7.started,slider_3.started,dsr_a.stopped,slider_3.response,slider_3.rt,dsr_b.started,text_8.started,text_9.started,slider_4.started,dsr_b.stopped,slider_4.response,slider_4.rt,distractor.started,text.started,textbox.started,buton.started,distractor.stopped,textbox.text,buton.numClicks,buton.timesOn,buton.timesOff,encoding.started,polygon.started,image.started,polygon.stopped,slider.started,encoding.stopped,slider.response,slider.rt,image.stopped,instruction.started,text_4.started,Button.started,instruction.stopped,Button.numClicks,Button.timesOn,Button.timesOff,testing.started,text_2.started,slider_2.started,testing.stopped,slider_2.response,slider_2.rt,exit_message.started,text_5.started,text_5.stopped,exit_message.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004630200011888519,0.013089800020679832,0.013089800020679832,20.972118900011992,1,[20.966356299992185],[20.966393399983644],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.972203700017417,20.98733830000856,20.98733830000856,34.37040159999742,1,[13.397105999989435],[13.397113199986052],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
1r,"I might be willing to try eating monkey meat, under some circumstances",,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,34.43388220001361,,,,,,,,,,,,,,,,34.37612319999607,34.43388220001361,34.43388220001361,34.43388220001361,34.59907339999336,2.0,0.19618160001118667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
2,"It would bother me to be in a science class, and to see a human hand preserved in a jar",,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,34.62971930002095,,,,,,,,,,,,,,,,34.59949230001075,34.62971930002095,34.62971930002095,34.62971930002095,55.207039000000805,2.0,20.579780300002312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
3,It bothers me to hear someone clear a throat full of mucous,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,55.23022920000949,,,,,,,,,,,,,,,,55.207280700007686,55.23022920000949,55.23022920000949,55.23022920000949,71.90110040002037,4.0,16.67105599999195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
4,I never let any part of my body touch the toilet seat in public restrooms. ,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,71.92487869999604,,,,,,,,,,,,,,,,71.9013254000165,71.92487869999604,71.92487869999604,71.92487869999604,81.43192200001795,4.0,9.507627899991348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
5,I would go out of my way to avoid walking through a graveyard. ,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,81.45517679999466,,,,,,,,,,,,,,,,81.43215520001831,81.45517679999466,81.45517679999466,81.45517679999466,93.06391719999374,3.0,11.609481200022856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
6r,Seeing a cockroach in someone else's house doesn't bother me. ,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,93.08950050000567,,,,,,,,,,,,,,,,93.06414030000451,93.08950050000567,93.08950050000567,93.08950050000567,100.08392740000272,0.0,6.9929347000143025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
7,It would bother me tremendously to touch a dead body. ,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,100.10758599999826,,,,,,,,,,,,,,,,100.0841936999932,100.10758599999826,100.10758599999826,100.10758599999826,105.99915439999313,4.0,5.892205999989528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
8,"If I see someone vomit, it makes me sick to my stomach. ",,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,106.02235690000816,,,,,,,,,,,,,,,,105.99941640000907,106.02235690000816,106.02235690000816,106.02235690000816,114.36450379999587,2.0,8.34228609999991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AO,001,2024-11-22_15h52.16.519,Disgust Thang,2024.1.5,None,2024-11-22 15h52.30.292870 +0530,
