dsr1_no,dsr1,dsr2_no,dsr_e,math_q,correct_resp,image_disgust,no,pol_ques,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,consent_form.started,text_10.started,button_2.started,consent_form.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,Introduction.started,text_3.started,button.started,Introduction.stopped,button.numClicks,button.timesOn,button.timesOff,dsr_a.started,text_6.started,text_7.started,slider_3.started,dsr_a.stopped,slider_3.response,slider_3.rt,dsr_b.started,text_8.started,text_9.started,slider_4.started,dsr_b.stopped,slider_4.response,slider_4.rt,distractor.started,text.started,textbox.started,buton.started,distractor.stopped,textbox.text,buton.numClicks,buton.timesOn,buton.timesOff,encoding.started,polygon.started,image.started,polygon.stopped,slider.started,image.stopped,encoding.stopped,slider.response,slider.rt,instruction.started,text_4.started,Button.started,instruction.stopped,Button.numClicks,Button.timesOn,Button.timesOff,testing.started,text_2.started,slider_2.started,testing.stopped,slider_2.response,slider_2.rt,exit_message.started,text_5.started,exit_message.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004525399999693036,0.01198910002131015,0.01198910002131015,44.470323999994434,1,[44.46482379999361],[44.4648290000041],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SN,001,2024-11-22_17h12.15.406,Disgust Thang,2024.1.5,None,2024-11-22 17h12.35.045736 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.47039400000358,44.485730900021736,44.485730900021736,47.75311750001856,1,[3.281706200010376],[3.2817119999963325],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SN,001,2024-11-22_17h12.15.406,Disgust Thang,2024.1.5,None,2024-11-22 17h12.35.045736 +0530,
1r,"I might be willing to try eating monkey meat, under some circumstances",,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,47.812315500021214,,,,,,,,,,,,,,,,47.75842460000422,47.812315500021214,47.812315500021214,47.812315500021214,47.88693510001758,2.0,0.10476600000401959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SN,001,2024-11-22_17h12.15.406,Disgust Thang,2024.1.5,None,2024-11-22 17h12.35.045736 +0530,
2,"It would bother me to be in a science class, and to see a human hand preserved in a jar",,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,47.90983370001777,,,,,,,,,,,,,,,,47.88727249999647,47.90983370001777,47.90983370001777,47.90983370001777,52.870336699998006,0.0,4.959194099996239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SN,001,2024-11-22_17h12.15.406,Disgust Thang,2024.1.5,None,2024-11-22 17h12.35.045736 +0530,
3,It bothers me to hear someone clear a throat full of mucous,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,52.89329930001986,,,,,,,,,,,,,,,,52.87059100001352,52.89329930001986,52.89329930001986,52.89329930001986,56.45333300001221,1.0,3.5611391000275034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SN,001,2024-11-22_17h12.15.406,Disgust Thang,2024.1.5,None,2024-11-22 17h12.35.045736 +0530,
4,I never let any part of my body touch the toilet seat in public restrooms. ,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,56.47520479999366,,,,,,,,,,,,,,,,56.45357730000978,56.47520479999366,56.47520479999366,56.47520479999366,60.38631530001294,2.0,3.9095552999933716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SN,001,2024-11-22_17h12.15.406,Disgust Thang,2024.1.5,None,2024-11-22 17h12.35.045736 +0530,
5,I would go out of my way to avoid walking through a graveyard. ,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,60.407853500015335,,,,,,,,,,,,,,,,60.38657160001458,60.407853500015335,60.407853500015335,60.407853500015335,64.10233110000263,1.0,3.6933964999916498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SN,001,2024-11-22_17h12.15.406,Disgust Thang,2024.1.5,None,2024-11-22 17h12.35.045736 +0530,
6r,Seeing a cockroach in someone else's house doesn't bother me. ,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,64.12536210002145,,,,,,,,,,,,,,,,64.10257820002153,64.12536210002145,64.12536210002145,64.12536210002145,68.2352834000194,1.0,4.108681999990949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SN,001,2024-11-22_17h12.15.406,Disgust Thang,2024.1.5,None,2024-11-22 17h12.35.045736 +0530,
7,It would bother me tremendously to touch a dead body. ,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,68.25692790001631,,,,,,,,,,,,,,,,68.23552300001029,68.25692790001631,68.25692790001631,68.25692790001631,73.21754220000003,2.0,4.9598602000041865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SN,001,2024-11-22_17h12.15.406,Disgust Thang,2024.1.5,None,2024-11-22 17h12.35.045736 +0530,
8,"If I see someone vomit, it makes me sick to my stomach. ",,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,73.23877409999841,,,,,,,,,,,,,,,,73.2177789999987,73.23877409999841,73.23877409999841,73.23877409999841,76.03428079999867,1.0,2.794182899990119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SN,001,2024-11-22_17h12.15.406,Disgust Thang,2024.1.5,None,2024-11-22 17h12.35.045736 +0530,
