dsr1_no,dsr1,dsr2_no,dsr_e,math_q,correct_resp,image_disgust,no,pol_ques,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,consent_form.started,text_10.started,button_2.started,consent_form.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,Introduction.started,text_3.started,button.started,Introduction.stopped,button.numClicks,button.timesOn,button.timesOff,dsr_a.started,text_6.started,text_7.started,slider_3.started,dsr_a.stopped,slider_3.response,slider_3.rt,dsr_b.started,text_8.started,text_9.started,slider_4.started,dsr_b.stopped,slider_4.response,slider_4.rt,distractor.started,text.started,textbox.started,buton.started,distractor.stopped,textbox.text,buton.numClicks,buton.timesOn,buton.timesOff,encoding.started,polygon.started,image.started,polygon.stopped,slider.started,image.stopped,encoding.stopped,slider.response,slider.rt,instruction.started,text_4.started,Button.started,instruction.stopped,Button.numClicks,Button.timesOn,Button.timesOff,testing.started,text_2.started,slider_2.started,testing.stopped,slider_2.response,slider_2.rt,exit_message.started,text_5.started,exit_message.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0046728,0.0137829,0.0137829,15.7159925,1,[15.709032799990382],[15.709044299990637],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.7160656,15.7234213,15.7234213,26.5242423,1,[10.807204100012314],[10.807210900005884],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
1r,"I might be willing to try eating monkey meat, under some circumstances",,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,26.6888342,,,,,,,,,,,,,,,,26.640959,26.6888342,26.6888342,26.6888342,32.3566884,0,5.6923159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
2,"It would bother me to be in a science class, and to see a human hand preserved in a jar",,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,32.3837206,,,,,,,,,,,,,,,,32.3618396,32.3837206,32.3837206,32.3837206,40.1058869,3,7.7198959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
3,It bothers me to hear someone clear a throat full of mucous,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,40.1262752,,,,,,,,,,,,,,,,40.1061159,40.1262752,40.1262752,40.1262752,44.7890034,1,4.6606436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
4,I never let any part of my body touch the toilet seat in public restrooms. ,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,44.8100279,,,,,,,,,,,,,,,,44.7892341,44.8100279,44.8100279,44.8100279,52.3373695,3,7.5253907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
5,I would go out of my way to avoid walking through a graveyard. ,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,52.357975,,,,,,,,,,,,,,,,52.3375819,52.357975,52.357975,52.357975,58.9697906,0,6.6099363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
6r,Seeing a cockroach in someone else's house doesn't bother me. ,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,58.9928896,,,,,,,,,,,,,,,,58.9700036,58.9928896,58.9928896,58.9928896,64.2524694,4,5.2586271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
7,It would bother me tremendously to touch a dead body. ,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,64.2720483,,,,,,,,,,,,,,,,64.2526849,64.2720483,64.2720483,64.2720483,67.8520795,4,3.5778055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
8,"If I see someone vomit, it makes me sick to my stomach. ",,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,67.8714927,,,,,,,,,,,,,,,,67.8523204,67.8714927,67.8714927,67.8714927,70.5683682,3,2.6950441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TA,1,2024-11-22_13h26.53.983,Disgust Thang,2024.1.5,None,2024-11-22 13h27.44.106525 +0530
