dsr1_no,dsr1,dsr2_no,dsr_e,math_q,correct_resp,image_disgust,no,pol_ques,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,consent_form.started,text_10.started,button_2.started,consent_form.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,Introduction.started,text_3.started,button.started,Introduction.stopped,button.numClicks,button.timesOn,button.timesOff,dsr_a.started,text_6.started,text_7.started,slider_3.started,dsr_a.stopped,slider_3.response,slider_3.rt,dsr_b.started,text_8.started,text_9.started,slider_4.started,dsr_b.stopped,slider_4.response,slider_4.rt,distractor.started,text.started,textbox.started,buton.started,distractor.stopped,textbox.text,buton.numClicks,buton.timesOn,buton.timesOff,encoding.started,polygon.started,image.started,polygon.stopped,slider.started,image.stopped,encoding.stopped,slider.response,slider.rt,instruction.started,text_4.started,Button.started,instruction.stopped,Button.numClicks,Button.timesOn,Button.timesOff,testing.started,text_2.started,slider_2.started,testing.stopped,slider_2.response,slider_2.rt,exit_message.started,text_5.started,text_5.stopped,exit_message.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004353900003479794,0.015192999999271706,0.015192999999271706,417.7686404999986,1,[417.76145569997607],[417.76146899999003],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TS,001,2024-11-22_12h14.33.556,Disgust Thang,2024.1.5,None,2024-11-22 12h14.53.671147 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417.76872800002457,417.7762110000185,417.7762110000185,421.8092784000037,1,[4.039707299991278],[4.039712700003292],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TS,001,2024-11-22_12h14.33.556,Disgust Thang,2024.1.5,None,2024-11-22 12h14.53.671147 +0530,
1r,"I might be willing to try eating monkey meat, under some circumstances",,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,421.96519700001227,,,,,,,,,,,,,,,,421.91231240000343,421.96519700001227,421.96519700001227,421.96519700001227,422.05115550002665,2.0,0.11799520000931807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TS,001,2024-11-22_12h14.33.556,Disgust Thang,2024.1.5,None,2024-11-22 12h14.53.671147 +0530,
2,"It would bother me to be in a science class, and to see a human hand preserved in a jar",,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,422.1029501000012,,,,,,,,,,,,,,,,422.08102110002073,422.1029501000012,422.1029501000012,422.1029501000012,438.8245763000159,0.0,16.719240800011903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TS,001,2024-11-22_12h14.33.556,Disgust Thang,2024.1.5,None,2024-11-22 12h14.53.671147 +0530,
3,It bothers me to hear someone clear a throat full of mucous,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,438.8440000000119,,,,,,,,,,,,,,,,438.82483540000976,438.8440000000119,438.8440000000119,438.8440000000119,440.79100950001157,0.0,1.9449193000036757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TS,001,2024-11-22_12h14.33.556,Disgust Thang,2024.1.5,None,2024-11-22 12h14.53.671147 +0530,
4,I never let any part of my body touch the toilet seat in public restrooms. ,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,440.8109549000219,,,,,,,,,,,,,,,,440.79124970000703,440.8109549000219,440.8109549000219,440.8109549000219,443.9241047000105,1.0,3.111040999996476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TS,001,2024-11-22_12h14.33.556,Disgust Thang,2024.1.5,None,2024-11-22 12h14.53.671147 +0530,
5,I would go out of my way to avoid walking through a graveyard. ,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,443.9436443000159,,,,,,,,,,,,,,,,443.9243236000184,443.9436443000159,443.9436443000159,443.9436443000159,450.4399201000051,0.0,6.494190900004469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TS,001,2024-11-22_12h14.33.556,Disgust Thang,2024.1.5,None,2024-11-22 12h14.53.671147 +0530,
6r,Seeing a cockroach in someone else's house doesn't bother me. ,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,450.4616907000018,,,,,,,,,,,,,,,,450.4401332999987,450.4616907000018,450.4616907000018,450.4616907000018,456.78904840000905,1.0,6.325422599999001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TS,001,2024-11-22_12h14.33.556,Disgust Thang,2024.1.5,None,2024-11-22 12h14.53.671147 +0530,
7,It would bother me tremendously to touch a dead body. ,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,456.8082254000183,,,,,,,,,,,,,,,,456.78926470002625,456.8082254000183,456.8082254000183,456.8082254000183,466.0878241000173,2.0,9.277253999985987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TS,001,2024-11-22_12h14.33.556,Disgust Thang,2024.1.5,None,2024-11-22 12h14.53.671147 +0530,
8,"If I see someone vomit, it makes me sick to my stomach. ",,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,466.1075163000205,,,,,,,,,,,,,,,,466.0880445000075,466.1075163000205,466.1075163000205,466.1075163000205,468.42105910001555,4.0,2.3113862999889534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TS,001,2024-11-22_12h14.33.556,Disgust Thang,2024.1.5,None,2024-11-22 12h14.53.671147 +0530,
9,I probably would not go to my favorite restaurant if I found out that the cook had a cold. ,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,468.4409061000042,,,,,,,,,,,,,,,,468.42127260001143,468.4409061000042,468.4409061000042,468.4409061000042,472.1871738000191,0.0,3.743941199994879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TS,001,2024-11-22_12h14.33.556,Disgust Thang,2024.1.5,None,2024-11-22 12h14.53.671147 +0530,
10r,"It would not upset me at all to watch a person with a glass eye take the eye 
out of the socket.  ",,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,472.20802000002004,,,,,,,,,,,,,,,,472.18738529999973,472.20802000002004,472.20802000002004,472.20802000002004,476.4362832000188,4.0,4.225993400003063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TS,001,2024-11-22_12h14.33.556,Disgust Thang,2024.1.5,None,2024-11-22 12h14.53.671147 +0530,
11,It would bother me to see a rat run across my path in a park. ,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,476.4557720000157,,,,,,,,,,,,,,,,476.4364980000246,476.4557720000157,476.4557720000157,476.4557720000157,482.0024625000078,0.0,5.544465999992099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TS,001,2024-11-22_12h14.33.556,Disgust Thang,2024.1.5,None,2024-11-22 12h14.53.671147 +0530,
12d,I would rather eat a piece of fruit than a piece of paper ,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,482.0221387000056,,,,,,,,,,,,,,,,482.0026765000075,482.0221387000056,482.0221387000056,482.0221387000056,488.7852241000219,4.0,6.760772499983432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TS,001,2024-11-22_12h14.33.556,Disgust Thang,2024.1.5,None,2024-11-22 12h14.53.671147 +0530,
13,"Even if I was hungry, I would not drink a bowl of my favorite soup if it had been
stirred by a used but thoroughly washed flyswatter. ",,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,488.8085629999987,,,,,,,,,,,,,,,,488.7854396000039,488.8085629999987,488.8085629999987,488.8085629999987,497.70056220001425,4.0,8.88981409999542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TS,001,2024-11-22_12h14.33.556,Disgust Thang,2024.1.5,None,2024-11-22 12h14.53.671147 +0530,
14,"It would bother me to sleep in a nice hotel room if I knew that a man had died of a
heart attack in that room the night before. ",,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,497.72154280001996,,,,,,,,,,,,,,,,497.70078260000446,497.72154280001996,497.72154280001996,497.72154280001996,508.94890270000906,0.0,11.225179800007027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TS,001,2024-11-22_12h14.33.556,Disgust Thang,2024.1.5,None,2024-11-22 12h14.53.671147 +0530,
,,15,You see maggots on a piece of meat in an outdoor garbage pail. ,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,508.97476710000774,,,,,,,,,,,,,,,,,,,,,,,508.9531973999983,508.97476710000774,508.97476710000774,508.97476710000774,512.8652271000028,3.0,3.890261599997757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TS,001,2024-11-22_12h14.33.556,Disgust Thang,2024.1.5,None,2024-11-22 12h14.53.671147 +0530,
,,16d,You see a person eating an apple with a knife and fork,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,512.8849141000246,,,,,,,,,,,,,,,,,,,,,,,512.8655042000173,512.8849141000246,512.8849141000246,512.8849141000246,516.2480479000078,0.0,3.3611321999924257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TS,001,2024-11-22_12h14.33.556,Disgust Thang,2024.1.5,None,2024-11-22 12h14.53.671147 +0530,
,,17,"While you are walking through a tunnel under a railroad track, you smell urine. ",,,,,,,,,,0,2,2,2,,,,,,,,,,,,,516.270614100009,,,,,,,,,,,,,,,,,,,,,,,516.2482613000029,516.270614100009,516.270614100009,516.270614100009,526.7968720000063,1.0,10.523937100020703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TS,001,2024-11-22_12h14.33.556,Disgust Thang,2024.1.5,None,2024-11-22 12h14.53.671147 +0530,
,,18,"You take a sip of soda, and then realize that you drank from the glass that an
 		acquaintance of yours had been drinking from",,,,,,,,,,0,3,3,3,,,,,,,,,,,,,526.8209617000248,,,,,,,,,,,,,,,,,,,,,,,526.7970870000136,526.8209617000248,526.8209617000248,526.8209617000248,531.8796103000059,0.0,5.056501299986849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TS,001,2024-11-22_12h14.33.556,Disgust Thang,2024.1.5,None,2024-11-22 12h14.53.671147 +0530,
,,19,"Your friend's pet cat dies, and you have to pick up the dead body with your bare hands.  ",,,,,,,,,,0,4,4,4,,,,,,,,,,,,,531.8999792000104,,,,,,,,,,,,,,,,,,,,,,,531.8798416000209,531.8999792000104,531.8999792000104,531.8999792000104,535.6122196000069,0.0,3.7101646000228357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TS,001,2024-11-22_12h14.33.556,Disgust Thang,2024.1.5,None,2024-11-22 12h14.53.671147 +0530,
,,20,"You see someone put ketchup on vanilla ice cream, and eat it. ",,,,,,,,,,0,5,5,5,,,,,,,,,,,,,535.6317699000065,,,,,,,,,,,,,,,,,,,,,,,535.6124352000188,535.6317699000065,535.6317699000065,535.6317699000065,539.2283661000256,1.0,3.5944449999951757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TS,001,2024-11-22_12h14.33.556,Disgust Thang,2024.1.5,None,2024-11-22 12h14.53.671147 +0530,
,,21,You see a man with his intestines exposed after an accident. ,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,539.2475034000236,,,,,,,,,,,,,,,,,,,,,,,539.2285807000007,539.2475034000236,539.2475034000236,539.2475034000236,543.3280302000057,2.0,4.078317900013644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TS,001,2024-11-22_12h14.33.556,Disgust Thang,2024.1.5,None,2024-11-22 12h14.53.671147 +0530,
,,22,You discover that a friend of yours changes underwear only once a week. ,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,543.3480345999997,,,,,,,,,,,,,,,,,,,,,,,543.3282425000216,543.3480345999997,543.3480345999997,543.3480345999997,547.560632800014,3.0,4.210474899999099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TS,001,2024-11-22_12h14.33.556,Disgust Thang,2024.1.5,None,2024-11-22 12h14.53.671147 +0530,
,,23,A friend offers you a piece of chocolate shaped like dog doo. ,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,547.5815219000215,,,,,,,,,,,,,,,,,,,,,,,547.5608440000215,547.5815219000215,547.5815219000215,547.5815219000215,552.0767922000086,1.0,4.4931501999963075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TS,001,2024-11-22_12h14.33.556,Disgust Thang,2024.1.5,None,2024-11-22 12h14.53.671147 +0530,
,,24,You accidentally touch the ashes of a person who has been cremated. ,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,552.0966564000119,,,,,,,,,,,,,,,,,,,,,,,552.077004700026,552.0966564000119,552.0966564000119,552.0966564000119,555.6096210000105,0.0,3.5110253999882843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TS,001,2024-11-22_12h14.33.556,Disgust Thang,2024.1.5,None,2024-11-22 12h14.53.671147 +0530,
,,25,You are about to drink a glass of milk when you smell that it is spoiled. ,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,555.6291880000208,,,,,,,,,,,,,,,,,,,,,,,555.609841700003,555.6291880000208,555.6291880000208,555.6291880000208,561.025867600023,1.0,5.394223000010243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TS,001,2024-11-22_12h14.33.556,Disgust Thang,2024.1.5,None,2024-11-22 12h14.53.671147 +0530,
,,26,"As part of a sex education class, you are required to inflate a new unlubricated
		condom, using your mouth. ",,,,,,,,,,0,11,11,11,,,,,,,,,,,,,561.046245400008,,,,,,,,,,,,,,,,,,,,,,,561.0261028000095,561.046245400008,561.046245400008,561.046245400008,564.1086886000121,1.0,3.0602257999998983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TS,001,2024-11-22_12h14.33.556,Disgust Thang,2024.1.5,None,2024-11-22 12h14.53.671147 +0530,
,,27,"You are walking barefoot on concrete, and you step on an earthworm. ",,,,,,,,,,0,12,12,12,,,,,,,,,,,,,564.1281491000263,,,,,,,,,,,,,,,,,,,,,,,564.1089009999996,564.1281491000263,564.1281491000263,564.1281491000263,568.974646800023,0.0,4.8441825000045355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TS,001,2024-11-22_12h14.33.556,Disgust Thang,2024.1.5,None,2024-11-22 12h14.53.671147 +0530,
,,,,15-7,8,,,,,,,,,,,,0,0,0,0,,,,,,,,,568.9917319000233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568.9786265000002,568.9917319000233,568.9917319000233,568.9917319000233,589.3056960000249,8,1,[20.32276839998667],[20.322775399981765],,,,,,,,,,,,,,,,,,,,,,,,,,,TS,001,2024-11-22_12h14.33.556,Disgust Thang,2024.1.5,None,2024-11-22 12h14.53.671147 +0530,
,,,,5*7,35,,,,,,,,,,,,0,1,1,1,,,,,,,,,589.3194606000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589.3061597000051,589.3194606000034,589.3194606000034,589.3194606000034,594.7035314000095,35,1,[5.393944899988128],[5.393950400000904],,,,,,,,,,,,,,,,,,,,,,,,,,,TS,001,2024-11-22_12h14.33.556,Disgust Thang,2024.1.5,None,2024-11-22 12h14.53.671147 +0530,
,,,,42/7,6,,,,,,,,,,,,0,2,2,2,,,,,,,,,594.7188915000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594.7038729000196,594.7188915000006,594.7188915000006,594.7188915000006,605.1690042000264,6,1,[10.459658500010846],[10.459664000023622],,,,,,,,,,,,,,,,,,,,,,,,,,,TS,001,2024-11-22_12h14.33.556,Disgust Thang,2024.1.5,None,2024-11-22 12h14.53.671147 +0530,
,,,,51-17,34,,,,,,,,,,,,0,3,3,3,,,,,,,,,605.1842988000135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605.1693459000089,605.1842988000135,605.1842988000135,605.1842988000135,621.101394199999,34,1,[15.929650799982483],[15.929656899999827],,,,,,,,,,,,,,,,,,,,,,,,,,,TS,001,2024-11-22_12h14.33.556,Disgust Thang,2024.1.5,None,2024-11-22 12h14.53.671147 +0530,
,,,,19*8,152,,,,,,,,,,,,0,4,4,4,,,,,,,,,621.1155760000111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621.1017290000163,621.1155760000111,621.1155760000111,621.1155760000111,712.6385169000132,162,1,[91.53257599999779],[91.53258179998375],,,,,,,,,,,,,,,,,,,,,,,,,,,TS,001,2024-11-22_12h14.33.556,Disgust Thang,2024.1.5,None,2024-11-22 12h14.53.671147 +0530,
,,,,6* (25+3),168,,,,,,,,,,,,0,5,5,5,,,,,,,,,712.6538957000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712.6388617000193,712.6538957000012,712.6538957000012,712.6538957000012,771.4987659000035,10,1,[58.85475110000698],[58.85475719999522],,,,,,,,,,,,,,,,,,,,,,,,,,,TS,001,2024-11-22_12h14.33.556,Disgust Thang,2024.1.5,None,2024-11-22 12h14.53.671147 +0530,
,,,,,,images/1118_body products.png,,,,,,,,,,,,,,,0,0,0,3,,,,,771.9874509000219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771.8734331000014,771.9874509000219,772.5205558000016,772.9968597000116,779.5120375000115,782.5282493999985,783.7472673000011,1.125925925925926,11.750648399989586,,,,,,,,,,,,,,,,,,TS,001,2024-11-22_12h14.33.556,Disgust Thang,2024.1.5,None,2024-11-22 12h14.53.671147 +0530,
,,,,,,images/1201_death.png,,,,,,,,,,,,,,,0,1,1,6,,,,,783.8162792000221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,783.7475479000132,783.8162792000221,784.7627407000109,784.8287226000102,791.7604451000225,,793.4960735000204,1.9222222222222223,9.669839200010756,,,,,,,,,,,,,,,,,,TS,001,2024-11-22_12h14.33.556,Disgust Thang,2024.1.5,None,2024-11-22 12h14.53.671147 +0530,
