dsr1_no,dsr1,dsr2_no,dsr_e,math_q,correct_resp,image_disgust,no,pol_ques,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,consent_form.started,text_10.started,button_2.started,consent_form.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,Introduction.started,text_3.started,button.started,Introduction.stopped,button.numClicks,button.timesOn,button.timesOff,dsr_a.started,text_6.started,text_7.started,slider_3.started,dsr_a.stopped,slider_3.response,slider_3.rt,dsr_b.started,text_8.started,text_9.started,slider_4.started,dsr_b.stopped,slider_4.response,slider_4.rt,distractor.started,text.started,textbox.started,buton.started,distractor.stopped,textbox.text,buton.numClicks,buton.timesOn,buton.timesOff,encoding.started,polygon.started,image.started,polygon.stopped,slider.started,image.stopped,encoding.stopped,slider.response,slider.rt,instruction.started,text_4.started,Button.started,instruction.stopped,Button.numClicks,Button.timesOn,Button.timesOff,testing.started,text_2.started,slider_2.started,testing.stopped,slider_2.response,slider_2.rt,exit_message.started,text_5.started,text_5.stopped,exit_message.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004600499989464879,0.013466000003973022,0.013466000003973022,39.16213620000053,1,[39.15624129999196],[39.15624939999543],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VN,001,2024-11-22_17h38.56.755,Disgust Thang,2024.1.5,None,2024-11-22 17h39.17.262399 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.16222679999191,39.17742179997731,39.17742179997731,49.460736399982125,1,[10.297147799981758],[10.297155099979136],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VN,001,2024-11-22_17h38.56.755,Disgust Thang,2024.1.5,None,2024-11-22 17h39.17.262399 +0530,
1r,"I might be willing to try eating monkey meat, under some circumstances",,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,49.532724099990446,,,,,,,,,,,,,,,,49.467513399984455,49.532724099990446,49.532724099990446,49.532724099990446,49.70616109998082,2.0,0.21036500000627711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VN,001,2024-11-22_17h38.56.755,Disgust Thang,2024.1.5,None,2024-11-22 17h39.17.262399 +0530,
2,"It would bother me to be in a science class, and to see a human hand preserved in a jar",,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,49.733943200000795,,,,,,,,,,,,,,,,49.70655499998247,49.733943200000795,49.733943200000795,49.733943200000795,61.50820660000318,0.0,11.775031400000444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VN,001,2024-11-22_17h38.56.755,Disgust Thang,2024.1.5,None,2024-11-22 17h39.17.262399 +0530,
3,It bothers me to hear someone clear a throat full of mucous,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,61.53277039999375,,,,,,,,,,,,,,,,61.50849809998181,61.53277039999375,61.53277039999375,61.53277039999375,66.22815879998961,2.0,4.695826400013175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VN,001,2024-11-22_17h38.56.755,Disgust Thang,2024.1.5,None,2024-11-22 17h39.17.262399 +0530,
4,I never let any part of my body touch the toilet seat in public restrooms. ,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,66.25341169998865,,,,,,,,,,,,,,,,66.22841619999963,66.25341169998865,66.25341169998865,66.25341169998865,73.34244639999815,1.0,7.0897468000184745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VN,001,2024-11-22_17h38.56.755,Disgust Thang,2024.1.5,None,2024-11-22 17h39.17.262399 +0530,
5,I would go out of my way to avoid walking through a graveyard. ,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,73.36725509999087,,,,,,,,,,,,,,,,73.3427080999827,73.36725509999087,73.36725509999087,73.36725509999087,84.15742879998288,3.0,10.79059600000619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VN,001,2024-11-22_17h38.56.755,Disgust Thang,2024.1.5,None,2024-11-22 17h39.17.262399 +0530,
6r,Seeing a cockroach in someone else's house doesn't bother me. ,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,84.18463559998781,,,,,,,,,,,,,,,,84.15776269999333,84.18463559998781,84.18463559998781,84.18463559998781,90.41347219998715,3.0,6.228861200012034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VN,001,2024-11-22_17h38.56.755,Disgust Thang,2024.1.5,None,2024-11-22 17h39.17.262399 +0530,
7,It would bother me tremendously to touch a dead body. ,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,90.43823169998359,,,,,,,,,,,,,,,,90.41376080000191,90.43823169998359,90.43823169998359,90.43823169998359,103.23960709999665,4.0,12.801774099993054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VN,001,2024-11-22_17h38.56.755,Disgust Thang,2024.1.5,None,2024-11-22 17h39.17.262399 +0530,
8,"If I see someone vomit, it makes me sick to my stomach. ",,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,103.26775579998503,,,,,,,,,,,,,,,,103.2398767999839,103.26775579998503,103.26775579998503,103.26775579998503,108.23170919998665,4.0,4.968028600007528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VN,001,2024-11-22_17h38.56.755,Disgust Thang,2024.1.5,None,2024-11-22 17h39.17.262399 +0530,
9,I probably would not go to my favorite restaurant if I found out that the cook had a cold. ,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,108.25698569999076,,,,,,,,,,,,,,,,108.23200930000166,108.25698569999076,108.25698569999076,108.25698569999076,114.83535720000509,2.0,6.578959999984363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VN,001,2024-11-22_17h38.56.755,Disgust Thang,2024.1.5,None,2024-11-22 17h39.17.262399 +0530,
10r,"It would not upset me at all to watch a person with a glass eye take the eye 
out of the socket.  ",,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,114.86214409998502,,,,,,,,,,,,,,,,114.83562569998321,114.86214409998502,114.86214409998502,114.86214409998502,129.21547259998624,0.0,14.35359100002097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VN,001,2024-11-22_17h38.56.755,Disgust Thang,2024.1.5,None,2024-11-22 17h39.17.262399 +0530,
11,It would bother me to see a rat run across my path in a park. ,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,129.2404561000003,,,,,,,,,,,,,,,,129.21579089999432,129.2404561000003,129.2404561000003,129.2404561000003,137.42127560000517,1.0,8.181361700000707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VN,001,2024-11-22_17h38.56.755,Disgust Thang,2024.1.5,None,2024-11-22 17h39.17.262399 +0530,
