dsr1_no,dsr1,dsr2_no,dsr_e,math_q,correct_resp,image_disgust,no,pol_ques,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,consent_form.started,text_10.started,button_2.started,consent_form.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,Introduction.started,text_3.started,button.started,Introduction.stopped,button.numClicks,button.timesOn,button.timesOff,dsr_a.started,text_6.started,text_7.started,slider_3.started,dsr_a.stopped,slider_3.response,slider_3.rt,dsr_b.started,text_8.started,text_9.started,slider_4.started,dsr_b.stopped,slider_4.response,slider_4.rt,distractor.started,text.started,textbox.started,buton.started,distractor.stopped,textbox.text,buton.numClicks,buton.timesOn,buton.timesOff,encoding.started,polygon.started,image.started,polygon.stopped,slider.started,image.stopped,encoding.stopped,slider.response,slider.rt,instruction.started,text_4.started,Button.started,instruction.stopped,Button.numClicks,Button.timesOn,Button.timesOff,testing.started,text_2.started,slider_2.started,testing.stopped,slider_2.response,slider_2.rt,exit_message.started,text_5.started,exit_message.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0026680000009946525,0.008384999993722886,0.008384999993722886,2.9413041999796405,1,[2.9378873000096064],[2.9378935000277124],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VP1,001,2024-11-22_00h51.45.219,Disgust Thang,2024.1.5,None,2024-11-22 00h51.55.520864 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.941372199973557,2.9551562999840826,2.9551562999840826,3.939862399973208,1,[0.9975323000107892],[0.9975378000235651],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VP1,001,2024-11-22_00h51.45.219,Disgust Thang,2024.1.5,None,2024-11-22 00h51.55.520864 +0530,
1r,"I might be willing to try eating monkey meat, under some circumstances",,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,3.9923673999728635,,,,,,,,,,,,,,,,3.945024699991336,3.9923673999728635,3.9923673999728635,3.9923673999728635,4.190733499999624,2.0,0.22272600000724196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VP1,001,2024-11-22_00h51.45.219,Disgust Thang,2024.1.5,None,2024-11-22 00h51.55.520864 +0530,
2,"It would bother me to be in a science class, and to see a human hand preserved in a jar",,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,4.210482800001046,,,,,,,,,,,,,,,,4.1910403999791015,4.210482800001046,4.210482800001046,4.210482800001046,14.3559403999825,2.0,10.141833700006828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VP1,001,2024-11-22_00h51.45.219,Disgust Thang,2024.1.5,None,2024-11-22 00h51.55.520864 +0530,
3,It bothers me to hear someone clear a throat full of mucous,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,14.37391949997982,,,,,,,,,,,,,,,,14.356164199998602,14.37391949997982,14.37391949997982,14.37391949997982,18.32216659997357,3.0,3.944405399990501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VP1,001,2024-11-22_00h51.45.219,Disgust Thang,2024.1.5,None,2024-11-22 00h51.55.520864 +0530,
4,I never let any part of my body touch the toilet seat in public restrooms. ,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,18.340453699987847,,,,,,,,,,,,,,,,18.322392299975036,18.340453699987847,18.340453699987847,18.340453699987847,21.33823539997684,1.0,2.99400579999201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VP1,001,2024-11-22_00h51.45.219,Disgust Thang,2024.1.5,None,2024-11-22 00h51.55.520864 +0530,
5,I would go out of my way to avoid walking through a graveyard. ,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,21.35667189999367,,,,,,,,,,,,,,,,21.33845709997695,21.35667189999367,21.35667189999367,21.35667189999367,25.821124499983853,1.0,4.460798999993131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VP1,001,2024-11-22_00h51.45.219,Disgust Thang,2024.1.5,None,2024-11-22 00h51.55.520864 +0530,
6r,Seeing a cockroach in someone else's house doesn't bother me. ,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,25.84085999999661,,,,,,,,,,,,,,,,25.821347499993863,25.84085999999661,25.84085999999661,25.84085999999661,30.47050369999488,4.0,4.625699600001099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VP1,001,2024-11-22_00h51.45.219,Disgust Thang,2024.1.5,None,2024-11-22 00h51.55.520864 +0530,
7,It would bother me tremendously to touch a dead body. ,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,30.48861049997504,,,,,,,,,,,,,,,,30.47072539999499,30.48861049997504,30.48861049997504,30.48861049997504,79.76442229998065,1.0,49.27200949998223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VP1,001,2024-11-22_00h51.45.219,Disgust Thang,2024.1.5,None,2024-11-22 00h51.55.520864 +0530,
8,"If I see someone vomit, it makes me sick to my stomach. ",,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,79.78240820000065,,,,,,,,,,,,,,,,79.76464629999828,79.78240820000065,79.78240820000065,79.78240820000065,84.48026819998631,2.0,4.693846999987727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VP1,001,2024-11-22_00h51.45.219,Disgust Thang,2024.1.5,None,2024-11-22 00h51.55.520864 +0530,
