dsr1_no,dsr1,dsr2_no,dsr_e,math_q,correct_resp,image_disgust,no,pol_ques,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,consent_form.started,text_10.started,button_2.started,consent_form.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,Introduction.started,text_3.started,button.started,Introduction.stopped,button.numClicks,button.timesOn,button.timesOff,dsr_a.started,text_6.started,text_7.started,slider_3.started,dsr_a.stopped,slider_3.response,slider_3.rt,dsr_b.started,text_8.started,text_9.started,slider_4.started,dsr_b.stopped,slider_4.response,slider_4.rt,distractor.started,text.started,textbox.started,buton.started,distractor.stopped,textbox.text,buton.numClicks,buton.timesOn,buton.timesOff,encoding.started,polygon.started,image.started,polygon.stopped,slider.started,image.stopped,encoding.stopped,slider.response,slider.rt,instruction.started,text_4.started,Button.started,instruction.stopped,Button.numClicks,Button.timesOn,Button.timesOff,testing.started,text_2.started,slider_2.started,testing.stopped,slider_2.response,slider_2.rt,exit_message.started,text_5.started,exit_message.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005101600021589547,0.01422330000787042,0.01422330000787042,49.15061579999747,1,[49.14430490002269],[49.14431329999934],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YSY,001,2024-11-22_16h25.00.406,Disgust Thang,2024.1.5,None,2024-11-22 16h25.30.895007 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.15071159999934,49.165649700007634,49.165649700007634,60.98300130001735,1,[11.830291000020225],[11.830300200002966],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YSY,001,2024-11-22_16h25.00.406,Disgust Thang,2024.1.5,None,2024-11-22 16h25.30.895007 +0530,
1r,"I might be willing to try eating monkey meat, under some circumstances",,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,61.05941730001359,,,,,,,,,,,,,,,,60.99039420002373,61.05941730001359,61.05941730001359,61.05941730001359,61.102281900006346,2.0,0.0826490999897942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YSY,001,2024-11-22_16h25.00.406,Disgust Thang,2024.1.5,None,2024-11-22 16h25.30.895007 +0530,
2,"It would bother me to be in a science class, and to see a human hand preserved in a jar",,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,61.13253679999616,,,,,,,,,,,,,,,,61.10268400001223,61.13253679999616,61.13253679999616,61.13253679999616,78.5223982000025,1.0,17.390652600006433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YSY,001,2024-11-22_16h25.00.406,Disgust Thang,2024.1.5,None,2024-11-22 16h25.30.895007 +0530,
3,It bothers me to hear someone clear a throat full of mucous,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,78.5492915000068,,,,,,,,,,,,,,,,78.52270200001658,78.5492915000068,78.5492915000068,78.5492915000068,85.94329250001465,2.0,7.39135580000584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YSY,001,2024-11-22_16h25.00.406,Disgust Thang,2024.1.5,None,2024-11-22 16h25.30.895007 +0530,
4,I never let any part of my body touch the toilet seat in public restrooms. ,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,85.97408970000106,,,,,,,,,,,,,,,,85.94363890000386,85.97408970000106,85.97408970000106,85.97408970000106,91.11482200000319,4.0,5.143112100020517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YSY,001,2024-11-22_16h25.00.406,Disgust Thang,2024.1.5,None,2024-11-22 16h25.30.895007 +0530,
5,I would go out of my way to avoid walking through a graveyard. ,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,91.14264350000303,,,,,,,,,,,,,,,,91.11511480002082,91.14264350000303,91.14264350000303,91.14264350000303,100.55812490000972,3.0,9.416991900012363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YSY,001,2024-11-22_16h25.00.406,Disgust Thang,2024.1.5,None,2024-11-22 16h25.30.895007 +0530,
6r,Seeing a cockroach in someone else's house doesn't bother me. ,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,100.58840629999759,,,,,,,,,,,,,,,,100.55841460000374,100.58840629999759,100.58840629999759,100.58840629999759,216.33426010000403,3.0,115.74358430001303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YSY,001,2024-11-22_16h25.00.406,Disgust Thang,2024.1.5,None,2024-11-22 16h25.30.895007 +0530,
7,It would bother me tremendously to touch a dead body. ,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,216.36230940002133,,,,,,,,,,,,,,,,216.3345735000039,216.36230940002133,216.36230940002133,216.36230940002133,220.51936580002075,3.0,4.157666399987647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YSY,001,2024-11-22_16h25.00.406,Disgust Thang,2024.1.5,None,2024-11-22 16h25.30.895007 +0530,
8,"If I see someone vomit, it makes me sick to my stomach. ",,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,220.54678880001302,,,,,,,,,,,,,,,,220.5196526000218,220.54678880001302,220.54678880001302,220.54678880001302,227.64440020002075,3.0,7.098810399998911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YSY,001,2024-11-22_16h25.00.406,Disgust Thang,2024.1.5,None,2024-11-22 16h25.30.895007 +0530,
