dsr1_no,dsr1,dsr2_no,dsr_e,math_q,correct_resp,image_disgust,no,pol_ques,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,consent_form.started,text_10.started,button_2.started,consent_form.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,Introduction.started,text_3.started,button.started,Introduction.stopped,button.numClicks,button.timesOn,button.timesOff,dsr_a.started,text_6.started,text_7.started,slider_3.started,dsr_a.stopped,slider_3.response,slider_3.rt,dsr_b.started,text_8.started,text_9.started,slider_4.started,dsr_b.stopped,slider_4.response,slider_4.rt,distractor.started,text.started,textbox.started,buton.started,distractor.stopped,textbox.text,buton.numClicks,buton.timesOn,buton.timesOff,encoding.started,polygon.started,image.started,polygon.stopped,slider.started,image.stopped,encoding.stopped,slider.response,slider.rt,instruction.started,text_4.started,Button.started,instruction.stopped,Button.numClicks,Button.timesOn,Button.timesOff,testing.started,text_2.started,slider_2.started,testing.stopped,slider_2.response,slider_2.rt,exit_message.started,text_5.started,text_5.stopped,exit_message.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004938400001265109,0.014305199991213158,0.014305199991213158,6.740996399981668,1,[6.734673400002066],[6.734688399999868],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZS,001,2024-11-22_15h28.09.102,Disgust Thang,2024.1.5,None,2024-11-22 15h31.07.781672 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.741094400000293,6.749119899992365,6.749119899992365,8.955129799986025,1,[2.212746800010791],[2.212753600004362],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZS,001,2024-11-22_15h28.09.102,Disgust Thang,2024.1.5,None,2024-11-22 15h31.07.781672 +0530,
1r,"I might be willing to try eating monkey meat, under some circumstances",,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,9.106842999986839,,,,,,,,,,,,,,,,9.051398399984464,9.106842999986839,9.106842999986839,9.106842999986839,9.210132999985944,2.0,0.13355420000152662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZS,001,2024-11-22_15h28.09.102,Disgust Thang,2024.1.5,None,2024-11-22 15h31.07.781672 +0530,
2,"It would bother me to be in a science class, and to see a human hand preserved in a jar",,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,9.238205500005279,,,,,,,,,,,,,,,,9.212782899994636,9.238205500005279,9.238205500005279,9.238205500005279,16.338882099982584,0.0,7.100949199986644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZS,001,2024-11-22_15h28.09.102,Disgust Thang,2024.1.5,None,2024-11-22 15h31.07.781672 +0530,
3,It bothers me to hear someone clear a throat full of mucous,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,16.361110500001814,,,,,,,,,,,,,,,,16.33911979998811,16.361110500001814,16.361110500001814,16.361110500001814,21.67166389999329,3.0,5.311079300008714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZS,001,2024-11-22_15h28.09.102,Disgust Thang,2024.1.5,None,2024-11-22 15h31.07.781672 +0530,
4,I never let any part of my body touch the toilet seat in public restrooms. ,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,21.694877100002486,,,,,,,,,,,,,,,,21.671903199981898,21.694877100002486,21.694877100002486,21.694877100002486,26.3204548000067,2.0,4.625916200020583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZS,001,2024-11-22_15h28.09.102,Disgust Thang,2024.1.5,None,2024-11-22 15h31.07.781672 +0530,
5,I would go out of my way to avoid walking through a graveyard. ,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,26.343646499997703,,,,,,,,,,,,,,,,26.320697699993616,26.343646499997703,26.343646499997703,26.343646499997703,29.70380180000211,1.0,3.3606165000237525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZS,001,2024-11-22_15h28.09.102,Disgust Thang,2024.1.5,None,2024-11-22 15h31.07.781672 +0530,
6r,Seeing a cockroach in someone else's house doesn't bother me. ,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,29.72913329998846,,,,,,,,,,,,,,,,29.70404729997972,29.72913329998846,29.72913329998846,29.72913329998846,34.98661579997861,3.0,5.257404900010442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZS,001,2024-11-22_15h28.09.102,Disgust Thang,2024.1.5,None,2024-11-22 15h31.07.781672 +0530,
7,It would bother me tremendously to touch a dead body. ,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,35.00939950000611,,,,,,,,,,,,,,,,34.98684709999361,35.00939950000611,35.00939950000611,35.00939950000611,45.40200939998613,0.0,10.392508199991425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZS,001,2024-11-22_15h28.09.102,Disgust Thang,2024.1.5,None,2024-11-22 15h31.07.781672 +0530,
8,"If I see someone vomit, it makes me sick to my stomach. ",,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,45.42555519999587,,,,,,,,,,,,,,,,45.402249100006884,45.42555519999587,45.42555519999587,45.42555519999587,48.8674531999859,1.0,3.443171799997799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZS,001,2024-11-22_15h28.09.102,Disgust Thang,2024.1.5,None,2024-11-22 15h31.07.781672 +0530,
